,date,ML,Low,High
Castilla y León,2020-03-10,2.0,0.34,6.43
Castilla y León,2020-03-11,1.8800000000000001,0.38,5.01
Castilla y León,2020-03-12,1.8,0.38,4.45
Castilla y León,2020-03-13,2.05,0.5,4.54
Castilla y León,2020-03-14,2.17,0.61,4.33
Castilla y León,2020-03-15,2.16,0.68,4.01
Castilla y León,2020-03-16,2.2800000000000002,0.8200000000000001,3.85
Castilla y León,2020-03-17,1.8,0.22,3.2600000000000002
Castilla y León,2020-03-18,2.5,1.04,3.8200000000000003
Castilla y León,2020-03-19,2.36,1.16,3.5100000000000002
Castilla y León,2020-03-20,2.22,1.2,3.22
Castilla y León,2020-03-21,2.37,1.52,3.22
Castilla y León,2020-03-22,2.2,1.45,2.91
Castilla y León,2020-03-23,2.0300000000000002,1.3900000000000001,2.68
Castilla y León,2020-03-24,1.99,1.43,2.57
Castilla y León,2020-03-25,1.77,1.25,2.2800000000000002
Castilla y León,2020-03-26,1.74,1.26,2.2
Castilla y León,2020-03-27,1.6600000000000001,1.23,2.1
Castilla y León,2020-03-28,1.49,1.09,1.9100000000000001
Castilla y León,2020-03-29,1.41,1.03,1.81
Castilla y León,2020-03-30,1.34,0.97,1.71
Castilla y León,2020-03-31,1.27,0.92,1.6400000000000001
Castilla y León,2020-04-01,1.2,0.85,1.55
Castilla y León,2020-04-02,1.1,0.76,1.45
Castilla y León,2020-04-03,1.04,0.7000000000000001,1.3900000000000001
Castilla y León,2020-04-04,0.97,0.63,1.32
Castilla y León,2020-04-05,0.96,0.63,1.33
Castilla y León,2020-04-06,0.92,0.5700000000000001,1.27
Castilla y León,2020-04-07,0.9500000000000001,0.61,1.32
Castilla y León,2020-04-08,0.9500000000000001,0.6,1.31
Castilla y León,2020-04-09,0.97,0.61,1.32
Castilla y León,2020-04-10,0.98,0.64,1.36
Castilla y León,2020-04-11,1.07,0.73,1.44
Castilla y León,2020-04-12,1.02,0.68,1.3900000000000001
Castilla y León,2020-04-13,1.01,0.67,1.3800000000000001
Castilla y León,2020-04-14,0.9,0.54,1.25
Castilla y León,2020-04-15,0.92,0.56,1.28
Castilla y León,2020-04-16,0.91,0.55,1.28
Castilla y León,2020-04-17,0.87,0.5,1.24
Castilla y León,2020-04-18,0.78,0.4,1.16
Castilla y León,2020-04-19,0.84,0.46,1.24
Castilla y León,2020-04-20,0.88,0.49,1.28
Castilla y León,2020-04-21,0.96,0.56,1.35
Castilla y León,2020-04-22,0.9400000000000001,0.55,1.35
Castilla y León,2020-04-23,0.9400000000000001,0.55,1.36
Castilla y León,2020-04-24,0.93,0.52,1.33
